"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","임산부정원수","영유아정원수","임산부실면적","영유아실면적","모유수유실면적","급식시설면적","세탁실면적","목욕실면적","조리원화장실면적","사무실면적","간호사수","간호조무사수","영양사수","취사부수","미화원수","기타인원수","건물층수","지상층수","지하층수"
"3060000","PHMB120063060034042100001","2006-12-27","","01","영업/정상","13","영업중","","","","","02-496-3425","","131-809","서울특별시 중랑구 망우본동 488번지 8호 외1필지 에이동","서울특별시 중랑구 망우로 411, 에이동 (망우동)","02073","아이맘-s산후조리원","2025-01-02 17:32:50","U","2024-12-01 00:04:00.0","","208547.560589346","455271.790327778","","","","","","","","","","","","","","","","","","",""
"3220000","PHMB120183220033042100001","2018-06-01","","01","영업/정상","13","영업중","","","","","02)517-2433","","","서울특별시 강남구 청담동 55번지 19호 헤리티지산후조리원2호점","서울특별시 강남구 영동대로141길 20, 헤리티지산후조리원2호점 (청담동)","06071","헤리티지 산후조리원 2호점","2024-01-26 11:16:51","U","2023-11-30 22:08:00.0","","204624.996016828","446759.42717493","","","","","","","","","","","","","","","","","","",""
"3150000","PHMB120243150037042100001","2024-02-19","","01","영업/정상","13","영업중","","","","","02-2039-3530","","","서울특별시 강서구 마곡동 791-5 마곡파인스퀘어Ⅲ, 4,5층","서울특별시 강서구 마곡중앙8로5길 11, 마곡파인스퀘어Ⅲ 4,5층층 (마곡동)","07794","라엘르마곡 산후조리원 주식회사","2024-02-19 17:56:42","I","2023-12-01 22:01:00.0","","185538.386473543","451080.469903239","","","","","","","","","","","","","","","","","","",""
"3100000","PHMB120133100034042100001","2013-02-06","","01","영업/정상","13","영업중","","","","","02-951-2300","","139-816","서울특별시 노원구 상계2동 363번지 10호","서울특별시 노원구 상계로7길 17 (상계동)","01692","노원라테라산후조리원","2024-08-12 14:40:59","U","2023-12-07 23:04:00.0","","205654.276925853","461683.780241427","","","","","","","","","","","","","","","","","","",""
"3220000","PHMB120073220033042100004","2007-03-06","","02","휴업","02","휴업","","2024-01-01","2024-12-31","","","","","서울특별시 강남구 역삼동 650번지 9호 강남차병원 3층","서울특별시 강남구 논현로 566, 강남차병원 3층 (역삼동)","06135","차병원 산후조리원","2024-12-26 18:33:55","U","2023-11-01 22:08:00.0","","202979.308817323","444965.788565979","","","","","","","","","","","","","","","","","","",""
"3000000","PHMB120153000034042100001","20151125","","01","영업/정상","13","영업중","","","","","02-763-5400","","","서울특별시 종로구 원남동 28번지 7호 창경빌딩","서울특별시 종로구 율곡로 174, 창경빌딩 2,3,4층 (원남동)","03127","라솜산후조리원 창경궁지점","2021-03-01 11:15:55","U","2021-03-03 02:40:00.0","","199750.932694302    ","452592.759611754    ","16","16","344.6","43.7","5.2","27.3","9.9","32","32","22.8","3","12","0","3","2","0","18","3","5"
"3000000","PHMB120163000034042100001","20160513","","01","영업/정상","13","영업중","","","","","02-738-3335","","110080","서울특별시 종로구 무악동 66번지 3호","서울특별시 종로구  통일로16길  4-1 (무악동)","110080","올리비움산후조리원","2021-03-01 11:15:11","U","2021-03-03 02:40:00.0","","196182.723078058    ","452605.712949857    ","60","60","2622.62","279.69","149.75","187.11","26.4","","","26.45","6","45","1","10","","21","11","5","1"
"3010000","PHMB120093010033042100001","20090626","","03","폐업","03","폐업","20140314","","","","02-562-5926","","100826","서울특별시 중구 신당4동 79번지","","","노블렛스산후조리원","2014-12-31 14:03:39","I","2018-08-31 23:59:59.0","","","","19","19","284.7","38.39","9","16","7.17","0","65.8","13.13","3","2","0","1","1","0","2","2","0"
"3010000","PHMB120103010033042100001","20100915","","03","폐업","03","폐업","20121213","","","","2238-7700","","100824","서울특별시 중구 신당6동 291-48 (5층)","","","동산산후조리원","2014-06-12 10:53:39","I","2018-08-31 23:59:59.0","","","","10","10","136.43","23.46","3.63","0","2.56","0","0","4.07","1","1","0","0","0","0","0","0","0"
"3140000","PHMB120063140033042100001","20061211","","03","폐업","03","폐업","20100429","","","","","","158807","서울특별시 양천구 목2동 507번지 11호","","","엠엔비산후조리원(양천점)","2016-05-30 13:31:17","I","2018-08-31 23:59:59.0","","188498.60418349     ","449463.118569169    ","10","10","","","","","","","","","3","3","","","","","","",""
"3100000","PHMB120123100034042100002","2012-04-06","","01","영업/정상","13","영업중","","","","","","","139-816","서울특별시 노원구 상계2동 354번지 6호  호영빌딩 2-5층","서울특별시 노원구 상계로5길 9 (상계동,호영빌딩 2-5층)","","(주)모아드림산후조리원","2024-11-03 15:09:10","U","2023-11-01 00:05:00.0","","205564.804283331","461624.554924461","","","","","","","","","","","","","","","","","","",""
"3150000","PHMB120073150037042100003","20070601","","03","폐업","03","폐업","20170204","","","","02-2601-1690","","157881","서울특별시 강서구 화곡1동 348번지 21호 3층","","","여울소산후조리원","2017-02-09 14:10:10","I","2018-08-31 23:59:59.0","","186186.105306713    ","447833.312521762    ","17","17","176.66","42.9","0","31.53","16.28","4.4","27.84","7.17","5","3","0","2","1","0","7","3",""
"3010000","PHMB120073010033042100001","20070103","","03","폐업","03","폐업","20171231","","","","02-2020-5500","","","","서울특별시 중구 퇴계로 244 (묵정동)","100380","제일병원 산후조리원","2017-12-29 18:07:50","I","2018-08-31 23:59:59.0","","199842.992753729    ","451090.793367583    ","23","23","525.5","83.4","0","35.1","39.3","5.2","122.3","16.2","26","4","2","4","3","3","6","456","0"
"3100000","PHMB120063100034042100002","20060405","","03","폐업","03","폐업","20090610","","","","02-948-0012","","139807","서울특별시 노원구 공릉1.3동 576번지 25호","서울특별시 노원구 동일로 1029 (공릉동)","","유영희산후조리원","2012-01-02 13:37:06","I","2018-08-31 23:59:59.0","","206449.174568637    ","457737.954897119    ","12","12","7.13","20.1","","","","","","","4","3","0","","","4","3","7","3"
"3010000","PHMB120163010033042100001","2016-12-16","","01","영업/정상","13","영업중","","","","","0260121010","","","서울특별시 중구 중림동 150-1 이화빌딩(중림동)","서울특별시 중구 중림로 31, 이화빌딩(중림동) 1층 (중림동)","04506","와튼젤리 산후조리원(용산마포점)","2024-05-16 16:06:46","U","2023-12-04 23:08:00.0","","197028.380586459","450675.687036134","","","","","","","","","","","","","","","","","","",""
"3160000","PHMB120143160034042100001","2014-04-22","","01","영업/정상","13","영업중","","","","","02-2611-7322","","","","서울특별시 구로구 경인로 240, 2층 (오류동)","08270","맘스퀘어 산후조리원","2023-02-09 14:11:55","U","2022-12-01 23:01:00.0","","","","","","","","","","","","","","","","","","","","","",""
"3160000","PHMB120143160034042100003","20141028","","03","폐업","03","폐업","20221206","","","","02-854-6677","","","","서울특별시 구로구 공원로 83 (구로동)","08290","아름제일산후조리원 2관","2022-12-07 09:23:23","U","2021-11-02 00:09:00.0","","","","","","","","","","","","","","","","","","","","","",""
"3020000","PHMB120203020033042100001","20201007","","01","영업/정상","13","영업중","","","","","02-6952-3787","","","서울특별시 용산구 한강로3가 40-969 서울드래곤시티","서울특별시 용산구 청파로20길 95, 서울드래곤시티 C동 39층 (한강로3가)","04372","트리니티 산후조리원","2020-10-14 15:44:27","U","2020-10-16 02:40:00.0","","196610.663839509    ","447742.348636253    ","18","18","647.75","83.02","","","8.25","","","5.44","3","3","0","0","1","0","44","39","0"
"3030000","PHMB120103030033042100001","20100702","","03","폐업","03","폐업","20160930","","","","2212-2582","","133847","서울특별시 성동구 용답동 2번지 3호 장안빌딩 2층","서울특별시 성동구 천호대로 320 (용답동,장안빌딩 2층)","","맘스터치산후조리원","2016-10-04 12:05:20","I","2018-08-31 23:59:59.0","","204811.005190157    ","451358.607132575    ","17","17","6.3","35.41","8.39","42.78","8.14","6.21","2.85","7.24","3","7","","2","1","","1","1",""
"3030000","PHMB120133030033042100001","20131204","","03","폐업","03","폐업","20190525","","","","2295-2220","","133071","서울특별시 성동구 행당1동 320번지 10호","서울특별시 성동구 고산자로8길 5 (행당동)","","호아맘산후조리원","2019-06-03 17:27:02","U","2019-06-05 02:40:00.0","","202985.078192228    ","450591.759883351    ","20","20","22.2","41.54","6.82","50.4","18.3","","12.64","11.55","2","8","","1","","","6","5","1"
"3040000","PHMB120063040033042100001","20061219","20140402","03","폐업","03","폐업","20140502","","","","02-462-0082","","143916","서울특별시 광진구 화양동 21번지 14호","서울특별시 광진구 동일로30길 5 (화양동)","","엄마손산후조리원","2014-04-02 14:13:12","I","2018-08-31 23:59:59.0","","205903.645088343    ","449506.049065503    ","21","21","155.4","36.3","56","23","5.2","3","12.5","12","3","9","1","3","1","2","5","4","1"
"3030000","PHMB120163030033042100001","2016-08-04","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 성동구 고산자로6길 40, 행당동 레몬프라자 6층 601호 (행당동)","04745","이든포레","2023-08-01 14:39:55","U","2022-12-08 00:03:00.0","","203071.959180897","450665.532604254","","","","","","","","","","","","","","","","","","",""
"3040000","PHMB120053040033042100001","20050215","20140729","03","폐업","03","폐업","20140829","","","","02-498-7733","","143916","서울특별시 광진구 화양동 21번지 14호","서울특별시 광진구 동일로30길 5 (화양동)","","다혜 산후조리원","2014-07-29 14:06:24","I","2018-08-31 23:59:59.0","","205903.645088343    ","449506.049065503    ","21","20","7.1","35.25","6.77","42","","7.22","","","3","7","1","2","2","3","5","4","1"
"3040000","PHMB120043040033042100001","20041213","20090306","03","폐업","03","폐업","20090304","","","","02-459-3579","","143837","서울특별시 광진구 군자동 247번지 5층","서울특별시 광진구 능동로 247 (군자동,5층)","","미즈모아산후조리원","2009-03-06 14:49:36","I","2018-08-31 23:59:59.0","","206702.381251518    ","450026.614978007    ","18","18","8.4","40","8.4","31","9.7","","","","2","8","0","2","2","3","6","6","1"
"3040000","PHMB120113040033042100001","20111005","20160330","03","폐업","03","폐업","20160329","","","","02-450-0082","","143916","서울특별시 광진구 화양동 18번지 9호 4층","서울특별시 광진구 광나루로 358 (화양동,4층)","","본마드레산후조리원","2016-03-30 10:41:33","I","2018-08-31 23:59:59.0","","206084.452042933    ","449509.442890304    ","12","12","235","22.5","4.5","28","3.5","","1.3","6","3","3","","2","1","1","4","4",""
"3040000","PHMB120123040033042100001","20120127","20180213","03","폐업","03","폐업","20180213","","","","02-458-0602","","143874","서울특별시 광진구 자양2동 680번지 4호","서울특별시 광진구 자양로 88 (자양동)","05051","광진사임당산후조리원","2018-02-13 17:40:05","I","2018-08-31 23:59:59.0","","207380.881842195    ","448153.591228926    ","11","11","141.48","23.91","","","","","40","4","3","3","1","1","1","","9","6","3"
"3040000","PHMB120013040033042100001","20010511","","01","영업/정상","13","영업중","","","","","02-447-0065","","143862","서울특별시 광진구 자양동 553번지 15호 3층","서울특별시 광진구 뚝섬로 503, 3층 (자양동)","05076","광진아기맘미소산후조리원","2020-09-18 17:55:35","U","2020-09-25 02:40:00.0","","205788.332713562    ","448212.127193771    ","10","10","399.1","34.56","","","12.67","","","","5","7","","2","1","","4","3","1"
"3050000","PHMB120163050034042100001","20160321","","03","폐업","03","폐업","20220101","20210601","20211231","","02-6085-1110","","","서울특별시 동대문구 장안동 94번지 27호 예신프라지 2층","서울특별시 동대문구 한천로46길 42, 2층 (장안동, 예신프라자)","02516","레피리움산후조리원장안점","2022-03-02 17:52:29","U","2022-03-04 02:40:00.0","","206176.178625746    ","453248.09724644     ","20","20","791.71","50.56","11.47","37.71","25.2","6.78","60.66","17.67","3","6","0","1","1","0","2","2","0"
"3050000","PHMB120143050034042100001","20141001","","01","영업/정상","13","영업중","","","","","1599-3270","","130883","서울특별시 동대문구 답십리동 94번지 9호","서울특별시 동대문구 전농로 102, 4층 (답십리동)","02538","마드레산후조리원","2019-03-05 17:35:34","U","2019-03-07 02:40:00.0","","205049.095910832    ","452418.270436454    ","18","18","341.48","40.9","","16.43","5","36","36","7.43","4","4","","2","2","1","4","4",""
"3160000","PHMB120143160034042100002","2014-06-11","","02","휴업","02","휴업","","2023-06-01","","","02-2636-3210","","","","서울특별시 구로구 중앙로 100 (고척동, 6,7층)","08218","연세사랑모아여성병원부설산후조리원","2024-03-20 16:38:36","U","2023-12-02 22:02:00.0","","187606.693801873","444911.925277155","","","","","","","","","","","","","","","","","","",""
"3050000","PHMB120063050034042100001","20061229","","01","영업/정상","13","영업중","","","","","2210-3399/3439","","130874","서울특별시 동대문구 휘경2동 29번지 1호 지하1층, 1층, 2층","서울특별시 동대문구 망우로 82, B1,1,2층 (휘경동)","02500","삼육서울병원부설산후조리원","2021-03-18 09:28:12","U","2021-03-20 02:40:00.0","","205622.517700168    ","454115.432829144    ","24","24","28","58.4","","","","","","","9","5","1","","","2","3","2","1"
"3050000","PHMB120063050034042100002","20061010","","01","영업/정상","13","영업중","","20171231","20180114","","2246-2001","","130100","서울특별시 동대문구 장안동 371번지 1호 삼성쉐르빌2층","서울특별시 동대문구 장한로 119 (장안동,삼성쉐르빌2층)","","린아미에산후조리원","2018-01-16 09:55:41","I","2018-08-31 23:59:59.0","","206101.9138443      ","452155.691148899    ","17","17","18","30.7","","","","","","","5","3","","","","4","0","",""
"3050000","PHMB120073050034042100001","20071203","","01","영업/정상","13","영업중","","","","","2243-5353","","","서울특별시 동대문구 장안동 370번지 2호","서울특별시 동대문구 답십리로 268, 해림빌딩 3,4층 (장안동)","02624","린산후조리원","2018-05-31 15:31:45","I","2018-08-31 23:59:59.0","","206127.547866452    ","452215.684030365    ","19","20","20","53.92","","","","","","","3","11","1","","","2","2","2",""
"3050000","PHMB120133050034042100001","20130129","","01","영업/정상","13","영업중","","","","","2213-5889","","130838","서울특별시 동대문구 장안2동 295번지 5호 7, 8층","서울특별시 동대문구 답십리로 269, 7,8층 (장안동)","02530","베베리타산후조리원","2020-08-18 13:13:50","U","2020-08-20 02:40:00.0","","206150.689570423    ","452269.676816624    ","15","15","","29.5","7.2","25.4","9.1","4.8","","24.5","4","6","","1","","2","2","2",""
"3060000","PHMB120073060034042100001","20070423","","03","폐업","03","폐업","20210701","","","","973-0500","","131846","서울특별시 중랑구 묵1동 2번지 현동학당 206호, 207호","서울특별시 중랑구 신내로25가길 2, 206호 (묵동)","02021","이제산후조리원","2021-07-01 13:37:55","U","2021-07-03 02:40:00.0","","207357.595177869    ","457462.766652935    ","14","14","158","29.84","","24.15","9.73","","","21.48","3","7","","2","1","1","","",""
"3060000","PHMB120073060034042100002","20070102","","03","폐업","03","폐업","20090609","","","","02-439-5400","","131881","서울특별시 중랑구 중화2동 303번지 14호 2필지 그린빌딩 5층","","","사임당산후조리원","2009-06-10 09:44:42","I","2018-08-31 23:59:59.0","","206936.570187916    ","455280.600452321    ","0","0","","","","","","","","","3","6","","","","","7","5",""
"3060000","PHMB120073060034042100003","20070911","","03","폐업","03","폐업","20180831","","","","02-495-7600","","131856","서울특별시 중랑구 상봉1동 74번지 46호 4층","서울특별시 중랑구 망우로 377, 4층 (상봉동)","02086","로얄사임당산후조리원","2018-08-31 17:46:37","I","2018-08-31 23:59:59.0","","208240.86652649     ","455162.056999516    ","0","0","214.11","30.32","","","","","","","3","8","1","2","2","","15","4",""
"3060000","PHMB120093060034042100001","20090615","","03","폐업","03","폐업","20151211","","","","02-439-5400","","131881","서울특별시 중랑구 중화2동 303번지 14호 그린빌딩 5층","서울특별시 중랑구 동일로 775, 5층 (중화동, 그린빌딩)","02102","첫단추 산후조리원","2015-12-17 11:00:21","I","2018-08-31 23:59:59.0","","206936.570187916    ","455280.600452321    ","15","15","","","","","","","","","3","6","1","1","1","","0","",""
"3060000","PHMB120113060034042100001","20110720","","03","폐업","03","폐업","20190822","","","","972-0808","","131141","서울특별시 중랑구 묵1동 168번지 18호","서울특별시 중랑구 중랑역로 257 (묵동)","02018","와이케이동그라미 산후조리원(태릉점)","2019-08-22 16:14:41","U","2019-08-24 02:40:00.0","","206694.052784096    ","457058.833608079    ","15","15","246.6","24.75","13","13.2","10.5","","1.32","8.64","2","3","","1","1","1","5","5",""
"3040000","PHMB120143040033042100001","2014-02-24","","01","영업/정상","13","영업중","","","","","02-2083-0640","","143-824","서울특별시 광진구 구의동 234번지 25호","서울특별시 광진구 자양로 192 (구의동)","05031","(주)궁 산후조리원 구의점","2024-11-13 13:19:50","U","2023-10-31 23:05:00.0","","207472.04483471","449142.687542642","","","","","","","","","","","","","","","","","","",""
"3060000","PHMB120143060034042100001","2014-06-09","","01","영업/정상","13","영업중","","","","","02-972-7667","","131-848","서울특별시 중랑구 묵동","서울특별시 중랑구 중랑역로 257, 신흥빌딩 4~5층 (묵동)","02018","뉴이자르 산후조리원 태릉점","2025-01-02 17:28:20","U","2024-12-01 00:04:00.0","","206694.052784096","457058.833608079","","","","","","","","","","","","","","","","","","",""
"3070000","PHMB120093070034042100001","20090416","","03","폐업","03","폐업","20160726","","","","929-2100","","136711","서울특별시 성북구 보문동7가 118번지  서광빌딩 5층","서울특별시 성북구 보문로 35 (보문동7가,서광빌딩 5층)","02873","화인웰산후조리원","2016-07-26 17:53:12","I","2018-08-31 23:59:59.0","","201925.121532202    ","452935.221547454    ","18","18","317","41","6","22.5","8","2.8","8.5","7.6","5","4","0","2","2","3","13","10","3"
"3070000","PHMB119993070034042100001","19990930","","03","폐업","03","폐업","20090504","","","","924-3100","","136033","서울특별시 성북구 동소문동3가 27번지","서울특별시 성북구 동소문로 40 (동소문동3가)","","이제 산후조리원","2009-05-04 17:55:24","I","2018-08-31 23:59:59.0","","200869.843675978    ","454210.643551283    ","14","19","55.03","125.36","9.9","16.5","13.5","4.95","16.5","6.6","3","4","","2","2","1","11","9","2"
"3070000","PHMB120063070034042100001","20061219","","03","폐업","03","폐업","20200331","","","","","","136841","서울특별시 성북구 정릉동 14번지 25호","서울특별시 성북구 정릉로 306 (정릉동)","02816","열린 산후조리원","2020-03-31 16:08:39","U","2020-04-02 02:40:00.0","","201442.308463776    ","455602.277276759    ","17","17","263.76","34.85","6.7","","","","","3.12","3","8","","","1","","4","4",""
